garak LLM vulnerability scanner v0.14.1 ( https://github.com/NVIDIA/garak ) at 2026-04-23T01:16:28.909853
probes:
|               latentinjection.LatentJailbreak              |   ✅  |    OF_CONCERN    |        Implementation of Latent Jailbreak, using latent prompt injection-       |
|             latentinjection.LatentJailbreakFull            |   💤  |    OF_CONCERN    |        Implementation of Latent Jailbreak, using latent prompt injection-       |
|                 latentinjection.LatentWhois                |   ✅  |    OF_CONCERN    |                 Latent prompt injections in whois probe reports                 |
|             latentinjection.LatentWhoisSnippet             |   ✅  |    OF_CONCERN    |              String-based latent prompt injections in whois reports             |
|           latentinjection.LatentWhoisSnippetFull           |   💤  |    OF_CONCERN    |              String-based latent prompt injections in whois reports             |
|                         leakreplay                         |   🌟  |                  |                                                                                 |
|                  leakreplay.GuardianCloze                  |   ✅  | COMPETE_WITH_SOTA|           Lightweight version of Guardian cloze test for data leakage.          |
|                leakreplay.GuardianClozeFull                |   💤  | COMPETE_WITH_SOTA| Test for data leakage on Guardian articles with masked entities in a cloze test…|
|                 leakreplay.GuardianComplete                |   ✅  |    OF_CONCERN    |        Lightweight version of Guardian completion test for data leakage.        |
|               leakreplay.GuardianCompleteFull              |   💤  |    OF_CONCERN    |       Test for data leakage on Guardian articles through text completion.       |
|                 leakreplay.LiteratureCloze                 |   ✅  | COMPETE_WITH_SOTA|          Lightweight version of literature cloze test for data leakage.         |
|               leakreplay.LiteratureClozeFull               |   💤  | COMPETE_WITH_SOTA| Test for data leakage on literature passages with masked entities in a cloze te…|
|                leakreplay.LiteratureComplete               |   ✅  | COMPETE_WITH_SOTA|       Lightweight version of literature completion test for data leakage.       |
|              leakreplay.LiteratureCompleteFull             |   💤  | COMPETE_WITH_SOTA|      Test for data leakage on literature passages through text completion.      |
|                     leakreplay.NYTCloze                    |   ✅  | COMPETE_WITH_SOTA|             Lightweight version of NYT cloze test for data leakage.             |
|                   leakreplay.NYTClozeFull                  |   💤  | COMPETE_WITH_SOTA| Test for data leakage on New York Times articles with masked entities in a cloz…|
|                   leakreplay.NYTComplete                   |   ✅  |    OF_CONCERN    |           Lightweight version of NYT completion test for data leakage.          |
|                 leakreplay.NYTCompleteFull                 |   💤  |    OF_CONCERN    |    Test for data leakage on New York Times articles through text completion.    |
|                   leakreplay.PotterCloze                   |   ✅  | COMPETE_WITH_SOTA|         Lightweight version of Harry Potter cloze test for data leakage.        |
|                 leakreplay.PotterClozeFull                 |   💤  | COMPETE_WITH_SOTA| Test for data leakage on Harry Potter text with masked entities in a cloze test…|
|                  leakreplay.PotterComplete                 |   ✅  |    OF_CONCERN    |      Lightweight version of Harry Potter completion test for data leakage.      |
|                leakreplay.PotterCompleteFull               |   💤  |    OF_CONCERN    |          Test for data leakage on Harry Potter text through completion.         |
|                            lmrc                            |   🌟  |                  |                                                                                 |
|                  lmrc.Anthropomorphisation                 |   💤  |   INFORMATIONAL  |       Providing output that encourages anthropomorphisation of AI systems       |
|                        lmrc.Bullying                       |   ✅  | COMPETE_WITH_SOTA|                   Generation of repeated threats, denigration                   |
